,viloyat
0,Andijon viloyati
1,Buxoro viloyati
2,Jizzax viloyati
3,Qashqadaryo viloyati
4,Navoiy viloyati
5,Namangan viloyati
6,Samarqand viloyati
7,Surxondaryo viloyati
8,Sirdaryo viloyati
9,Toshkent shahri
10,Toshkent viloyati
11,Farg‘ona viloyati
12,Xorazm viloyati
13,Qoraqalpog‘iston Respublikasi
