,tin,mahalla,mahalla_code,viloyat,tuman,sektor,coato,region_id,district_id
4101,203127940,YANGI MIRISHKOR,2542,Qashqadaryo viloyati,Mirishkor tumani,1,1710233,3,43
4102,202504361,YANGIOBOD,2548,Qashqadaryo viloyati,Mirishkor tumani,2,1710233,3,43
4103,202590732,YANGI TURMUSH,8808,Xorazm viloyati,Xiva shahar,1,1733406,12,209
4104,205220778,QIBLA TOZABOG,8806,Xorazm viloyati,Xiva shahar,1,1733406,12,209
4105,202883819,ICHAN-KALA,8805,Xorazm viloyati,Xiva shahar,1,1733406,12,209
4106,202719576,XALQABOD,4450,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4107,202829993,TOTKENT,4448,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4108,202866355,OQTOSH,4446,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4109,202932273,FAROVON,4445,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4110,202892198,NOGʻARAXONA,4444,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4111,202842378,MUSHKENT,4442,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4112,203053243,MUQIMIY,4441,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4113,202866363,MANGʻIT,4440,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4114,202496262,ISLOM SHOIR,4439,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4115,202649205,BAXT,4436,Samarqand viloyati,Narpay tumani,4,1718218,6,76
4116,206815011,MIRZO NODIM,9938,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
4117,207015714,QUSHXOVUZ,9935,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
4118,202637140,BURQUT,9933,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
4119,206815028,MIRZO OLIM,9927,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
4120,202637315,HUNARMAND,9923,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
4121,202637251,GOʻROʻGʻLI,9924,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
4122,202637283,XUDOYBERDI,9926,Samarqand viloyati,Paxtachi tumani,1,1718230,6,79
