,tin,mahalla,mahalla_code,viloyat,tuman,sektor,coato,region_id,district_id
4450,202943204,NAVOIY,2061,Jizzax viloyati,Zomin tumani,2,1708218,2,30
4451,202873054,XAMID OLIMJON,2077,Jizzax viloyati,Zomin tumani,3,1708218,2,30
4452,203509568,GULISTON,2069,Jizzax viloyati,Zomin tumani,3,1708218,2,30
4453,202431651,QARLIQ,2586,Qashqadaryo viloyati,Muborak tumani,2,1710234,3,44
4454,206566156,AMIR TEMUR,2581,Qashqadaryo viloyati,Muborak tumani,2,1710234,3,44
4455,203284351,CHANGAK,2341,Qashqadaryo viloyati,Qamashi tumani,4,1710220,3,39
4456,205111414,OQGUZAR,2339,Qashqadaryo viloyati,Qamashi tumani,4,1710220,3,39
4457,207165433,OLMAZOR,2340,Qashqadaryo viloyati,Qamashi tumani,4,1710220,3,39
4458,202912384,TARAQQIYOT,7164,Toshkent viloyati,Bekobod shahar,3,1727413,10,177
4459,202912424,ISTIQLOL,7176,Toshkent viloyati,Bekobod shahar,4,1727413,10,177
4460,202903181,TINCHLIK,7170,Toshkent viloyati,Bekobod shahar,4,1727413,10,177
4461,206980118,BULOQ ARIQ,7171,Toshkent viloyati,Bekobod shahar,4,1727413,10,177
4462,202903174,SEMENTCHI,7177,Toshkent viloyati,Bekobod shahar,4,1727413,10,177
4463,202926779,USTA NORMAT,6164,Toshkent viloyati,Oqqo‘rg‘on tumani,1,1727206,10,118
4464,302866717,QAHRAMON,6171,Toshkent viloyati,Oqqo‘rg‘on tumani,1,1727206,10,118
4465,200568704,ZARBDOR,6167,Toshkent viloyati,Oqqo‘rg‘on tumani,1,1727206,10,118
4466,302866660,GULISTON,6166,Toshkent viloyati,Oqqo‘rg‘on tumani,1,1727206,10,118
4467,202926708,BIRLIK,6177,Toshkent viloyati,Oqqo‘rg‘on tumani,2,1727206,10,118
4468,302866186,HOSILDOR,6172,Toshkent viloyati,Oqqo‘rg‘on tumani,2,1727206,10,118
4469,202926723,S.RAXIMOV,6186,Toshkent viloyati,Oqqo‘rg‘on tumani,3,1727206,10,118
4470,207064155,BOYGULI,6181,Toshkent viloyati,Oqqo‘rg‘on tumani,3,1727206,10,118
4471,302866115,SULTONOBOD,6184,Toshkent viloyati,Oqqo‘rg‘on tumani,3,1727206,10,118
4472,207061469,JAGʻALBOYLI,6185,Toshkent viloyati,Oqqo‘rg‘on tumani,3,1727206,10,118
4473,302866534,XONOBOD,6191,Toshkent viloyati,Oqqo‘rg‘on tumani,4,1727206,10,118
4474,302866638,SUVTI,6192,Toshkent viloyati,Oqqo‘rg‘on tumani,4,1727206,10,118
4475,202847101,SARBINAZ,9873,Qoraqalpog‘iston Respublikasi,Nukus shahar,3,1735401,13,186
4476,302860599,JARKOʻCHA,2668,Qashqadaryo viloyati,Kasbi tumani,3,1710237,3,46
4477,202339614,NAZARTEPA,2670,Qashqadaryo viloyati,Kasbi tumani,3,1710237,3,46
4478,201803315,MUGʻLON,2669,Qashqadaryo viloyati,Kasbi tumani,3,1710237,3,46
4479,207166431,MUSHKQOQI,2678,Qashqadaryo viloyati,Kasbi tumani,4,1710237,3,46
4480,204518359,BESH YUZ,6288,Toshkent viloyati,Bekobod tumani,4,1727220,10,120
4481,202815616,BOʻSTON,6284,Toshkent viloyati,Bekobod tumani,4,1727220,10,120
4482,302958736,TURON,6285,Toshkent viloyati,Bekobod tumani,4,1727220,10,120
4483,203111843,FARXOD,6287,Toshkent viloyati,Bekobod tumani,4,1727220,10,120
4484,202678573,OʻZBEK,6377,Toshkent viloyati,Bo‘ka tumani,1,1727228,10,122
4485,202664171,BUNYODKOR,6342,Toshkent viloyati,Bo‘ka tumani,1,1727228,10,122
4486,202678329,PARKENT,6348,Toshkent viloyati,Bo‘ka tumani,1,1727228,10,122
4487,202678494,SAMARQAND,6349,Toshkent viloyati,Bo‘ka tumani,1,1727228,10,122
4488,202678613,TOSHLOQ,6350,Toshkent viloyati,Bo‘ka tumani,1,1727228,10,122
4489,202678605,GULISTON,10403,Toshkent viloyati,Bo‘ka tumani,1,1727228,10,122
4490,202678415,QOʻLDOSHTEPA,10245,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4491,202678486,MIRZABEK,6355,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4492,202678462,OLTISH,10241,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4493,202678351,QULDUROQ,6359,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4494,206918469,RAMADON,6353,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4495,207311053,YANGIBOGʻ,10237,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4496,202678336,XOʻJAQOʻRGʻON,6352,Toshkent viloyati,Bo‘ka tumani,2,1727228,10,122
4497,202678408,DASHTOBOD,9601,Toshkent viloyati,Bo‘ka tumani,3,1727228,10,122
4498,203771324,OʻGʻLON,1646,Buxoro viloyati,Peshku tumani,1,1706240,1,21
4499,205220216,KAMOLOT,1656,Buxoro viloyati,Peshku tumani,2,1706240,1,21
4500,203235253,PESHKOʻ,1659,Buxoro viloyati,Peshku tumani,2,1706240,1,21
4501,203708859,SADIR,1660,Buxoro viloyati,Peshku tumani,2,1706240,1,21
4502,205732924,XOʻLBOR,1670,Buxoro viloyati,Peshku tumani,3,1706240,1,21
4503,205323879,SOʻSANA,1667,Buxoro viloyati,Peshku tumani,3,1706240,1,21
4504,203781589,DOʻSTLIK,1662,Buxoro viloyati,Peshku tumani,3,1706240,1,21
4505,204516947,VALFAJIR,9730,Buxoro viloyati,Peshku tumani,4,1706240,1,21
4506,203865292,CHIGʻIRCHI,1674,Buxoro viloyati,Peshku tumani,4,1706240,1,21
