,код,район,центр,область,parent_id
102,1724226,Сардобский район,гп Пахтаабад,1724,8
103,1724228,Мирзаабадский район,гп Навруз,1724,8
104,1724231,Сырдарьинский район,г. Сырдарья,1724,8
105,1724235,Хавасский район,гп Хавас,1724,8
106,1726262,Учтепинский район,,1726,9
107,1726264,Бектемирский район,,1726,9
108,1726266,Юнусабадский район,,1726,9
109,1726269,Мирзо-Улугбекский район,,1726,9
110,1726273,Мирабадский район,,1726,9
111,1726277,Шайхантахурский район,,1726,9
112,1726280,Алмазарский район,,1726,9
113,1726283,Сергелийский район,,1726,9
114,1726287,Яккасарайский район,,1726,9
115,1726290,Яшнободский район,,1726,9
116,1726292,Янгихаётский район,,1726,9
117,1726294,Чиланзарский район,,1726,9
118,1727206,Аккурганский район,г. Аккурган,1727,10
119,1727212,Ахангаранский район,г. Ахангаран,1727,10
120,1727220,Бекабадский район,гп Зафар,1727,10
121,1727224,Бостанлыкский район,г. Газалкент,1727,10
122,1727228,Букинский район,г. Бука,1727,10
123,1727233,Куйичирчикский район,г. Дустобод,1727,10
124,1727237,Зангиатинский район,гп Эшангузар,1727,10
125,1727239,Юкоричирчикский район,гп Янгибазар,1727,10
126,1727248,Кибрайский район,гп Кибрай,1727,10
127,1727249,Паркентский район,г. Паркент,1727,10
128,1727250,Пскентский район,г. Пскент,1727,10
129,1727253,Уртачирчикский район,г. Нурафшон,1727,10
130,1727256,Чиназский район,г. Чиназ,1727,10
131,1727259,Янгиюльский район,г.Янгиюль,1727,10
132,1727265,Ташкентский район,г.Келес,1727,10
133,1730203,Алтыарыкский район,гп Алтыарык,1730,11
134,1730206,Куштепинский район,нп Лангар,1730,11
135,1730209,Багдадский район,гп Багдад,1730,11
136,1730212,Бувайдинский район,гп Ибрат,1730,11
137,1730215,Бешарыкский район,г. Бешарык,1730,11
138,1730218,Кувинский район,г. Кува,1730,11
139,1730221,Учкуприкский район,гп Учкуприк,1730,11
140,1730224,Риштанский район,г. Риштан,1730,11
141,1730226,Сохский район,гп Равон,1730,11
142,1730227,Ташлакский район,гп Ташлак,1730,11
143,1730230,Узбекистанский район,г. Яйпан,1730,11
144,1730233,Ферганский район,гп Чимен,1730,11
145,1730236,Дангаринский район,гп Дангара,1730,11
146,1730238,Фуркатский район,гп Навбахор,1730,11
147,1730242,Язъяванский район,гп Язъяван,1730,11
148,1733204,Багатский район,гп Багат,1733,12
149,1733208,Гурленский район,гп Гурлен,1733,12
150,1733212,Кошкупырский район,гп Кошкупыр,1733,12
151,1733217,Ургенчский район,нп Караул,1733,12
152,1733220,Хазараспский район,гп Хазарасп,1733,12
