,махаля,region_id,district_id
159,ХЎЖАКИ,3,46
160,ЧУҚУРҚИШЛОҚ,3,39
161,ЧИМ,3,39
162,УЗУН,3,39
163,САРБАЗОР,3,39
164,РАВОТ,3,39
165,ПАХТАОБОД,3,39
166,ҚУШКАПА,3,39
167,БОБУРТЕПА,3,39
168,ҚИШЛИҚ,3,39
169,ҚОВЧИН,3,39
170,ҚИЗИЛҚИШЛОҚ,3,39
171,ТЎҚБОЙ,3,39
172,БОЙБУРИ,3,39
173,САМАРҚАНД,3,39
174,ҚОРАСУВ,3,39
175,ЎРТАДАРА,3,39
176,МАЙДА,3,39
177,ҒИШТЛИ,3,39
178,ЧЎЛОБОД,10,122
179,ЯНГИ ОБОД,10,181
180,ЁШЛИК ,10,181
181,ДЕҲҚОНОБОД,10,181
182,ДЕГАНТЕПА ,10,181
183,ҚУМАРИҚ,10,181
184,НАВРЎЗ,10,181
185,МУҚУМИЙ,10,181
186,ТЎЙТЕПА,10,181
187,ЧИҒИРИҚ,10,181
188,ТАРРАҚИЁТ,10,181
189,БОБУР,10,181
190,ОБОД,10,181
191,ЕВАЛАК,10,181
192,МАХМУДХЎЖА БЕҲБУДИЙ,10,176
193,ҚУЙИ АЙРОНЧИ,3,41
194,САХОВАТ,10,176
195,МИРЗО УЛУҒБЕК,10,176
196,БЎСТОН,10,176
197,ОЙДИН,10,176
198,КИМЁГАР,10,176
199,НАВБАХОР,10,124
200,ИТТИФОҚ,10,125
201,ИСТИҚЛОЛ,10,125
202,ТИМОФЕЙ ГРИГОРЕВИЧ ХВАН,10,125
203,НАВРЎЗ,10,125
204,БАЛИҚЧИ,10,125
205,БИРЛИК,10,125
206,ЁШЛИК,10,125
207,НОВДАК ,10,127
208,ЯНГИОБОД,10,127
209,ШАМПАН,10,127
210,БЎРСИЛИҚ,10,127
211,ЧИНОРЛИ ,10,127
212,УЛУҒБЕК,10,127
213,ЧАШМА,10,127
214,НАВРЎЗ,10,127
215,БУЛОҚБОШИ,10,127
216,ЯШНОБОД,10,127
217,ГУЛБОҒ,10,127
218,СУРХИ,10,127
219,ҚАЙИЛМА,10,127
220,АТАНГАН ГУЗАР,5,178
221,ИШОНЧ,5,178
222,ҒУНЧА,5,182
223,ИФТИХОР,5,63
224,ДЕҲҚОНОБОД,12,148
225,ЎЗГАРИШ,12,148
226,НАЙМАН,12,148
227,ОҚ ОЛТИН,12,148
228,НАВРЎЗ,12,148
229,НУРАФШОН,12,148
230,НУРЛИ МАСКАН,12,148
231,СОҲИБКОР,12,148
232,ГУЛШАН,12,148
233,КАРВАК,12,152
234,ҒОФУР ҒУЛОМ,12,152
235,АЛОҚАЛИ КЎЛ,12,152
236,ҚИРТЕПА,12,152
237,ЮҚОРИ-ШОВАТ,12,152
238,БОҒИЕРАМ,12,152
239,СУҒДИЁНА,6,179
240,ИСТИҚЛОЛ,6,179
241,ТЕПАГУЗАР,9,112
242,ҲАЗРАТИ ИМОМ,9,112
243,ЧИЛТЎҒОН,9,112
244,ҒАНИ АъЗАМОВ,9,112
245,ГУЛСАРОЙ,9,112
246,КАТТА ЯЛАНҒОЧОТА,9,109
247,ДОНИШМАНД,9,115
248,ЯНГИ НУР,9,115
249,ГУЛСАНАМ,9,109
250,САДИЙ ШЕРОЗИЙ,7,93
251,НУРБУЛОҚ,7,93
252,М.УЛУҒБЕК,7,93
253,БУЮК КЕЛАЖАК,7,93
254,АЙРОПОРТ,7,93
255,ШАХРИОБОД,7,93
256,АФСОНА,0,2
257,ИСЛОМОБОД,0,2
258,ШЎР,0,2
259,ФАРОВОН,0,2
260,ТЎДА,0,2
261,ОМОНАРИҚ,0,2
262,НУРАФШОН,0,2
263,ҚИЯЛИ,0,2
264,МАЙДОН,4,58
265,ЛАНГАР,4,58
266,ҚЎРҒОНТЕПА,4,58
267,ДАРДОҚТЕПА,0,8
268,ТУРОН ЗАМИН,0,8
269,ТЎРАЧЕК,0,8
270,СУТКОН,0,8
271,ДЎСТЛИК,0,8
272,ОЗОД,0,8
273,НАМУНА,0,8
274,УСТОЗ,0,8
275,НУРЛИ ЁҒДУ,0,8
276,МУСТАҚИЛЛИК,0,8
277,ГУЛИСТОН,0,8
278,ЯНГИ ХАЁТ,0,8
279,ШАҲРИХОНСОЙ,0,8
280,МАРКАЗ,0,11
281,НАЙМАН,0,11
282,ПОЛОСОН,0,11
283,ЮЗЛАР,0,11
284,ШОКИРБОЙ,0,11
285,ШАЙДО,0,11
286,АНДАЖОН,0,11
287,ҚЎҚОНИ,6,78
288,АЛИШЕР НАВОИЙ,6,78
289,БИРЛИК,6,179
290,ҚЎШ ЧИНОР,6,78
291,МАДАНИЙ ЮРИШ,6,78
292,МИРЗАТУТ,6,78
293,НАЙМАН,6,78
294,ТУРКМАН,6,78
295,ТУРОН,6,78
296,СИНЧИ,6,78
297,ШАКАРҚАМИШ,7,84
298,ЯНГИ ҲАЁТ,9,183
299,МАРҲАМАТ,9,183
300,ЯНГИ ТУРМУШ,9,183
301,ЕКРАЗ,7,84
302,ДЎҒОБА,7,84
303,НУРАФШОН,7,84
304,ИПОҚ,7,84
305,МАРМУН,7,84
306,УЗУМЗОР,7,84
307,ОБШИР,7,84
308,ОЛМАЗОР,7,84
